classification	snippet	replace
ACQUISITION	Facebook announced the acquisition of a virtual reality company specializing in immersive gaming experiences for $4 billion	#COMPANY announced the acquisition of a #TECHNOLOGY company specializing in #PRODUCT for $4 billion
PARTNERSHIP	Apple and Nike partnered to launch a new fitness app that integrates with the Apple Watch to track workouts and performance	#COMPANY and #COMPANY partnered to launch a new #PRODUCT that integrates with the #PRODUCT to track workouts and performance
TECHNOLOGY	Amazon introduced a new artificial intelligence tool that automatically detects defects in manufacturing processes to improve quality control	#COMPANY introduced a new #TECHNOLOGY tool that automatically detects defects in #PRODUCT processes to improve quality control
STAFFING	"Google announced plans to hire 20,000 new employees for its cloud computing division as part of its expansion strategy"	#COMPANY announced plans to hire #AMOUNT new employees for its #PRODUCT division as part of its expansion strategy
CSR	Microsoft launched a program to provide digital skills training to 25 million people worldwide as part of its commitment to corporate social responsibility	#COMPANY launched a program to provide digital skills training to #AMOUNT people worldwide as part of its commitment to #CSR
REGULATORY	Facebook faced fines totaling $5 billion from the Federal Trade Commission over privacy violations related to the Cambridge Analytica scandal	#COMPANY faced fines totaling $5 billion from the #LOCATION over privacy violations related to the #PRODUCT scandal
GROWTH	"Amazon announced plans to expand its grocery delivery service to 1,000 new cities across the United States by the end of the year"	#COMPANY announced plans to expand its #PRODUCT service to #AMOUNT new cities across the #LOCATION by the end of the year
INNOVATION	"Apple unveiled its latest innovation, a self-driving electric car prototype equipped with advanced sensor technology"	"#COMPANY unveiled its latest #PRODUCT, a self-driving #PRODUCT prototype equipped with advanced #TECHNOLOGY"
ACQUISITION	"Microsoft completed the acquisition of GitHub, a leading software development platform, for $7.5 billion"	#COMPANY completed the acquisition of #COMPANY
PARTNERSHIP	IBM and AT&T formed a strategic partnership to develop edge computing solutions for enterprise clients	#COMPANY and #COMPANY formed a strategic partnership to develop #TECHNOLOGY solutions for enterprise clients
FINANCIALS	"Google's parent company Alphabet reported a 35% increase in revenue for the quarter, driven by strong growth in ad sales"	"#COMPANY's parent company #COMPANY reported a 35% increase in revenue for the quarter, driven by strong growth in #PRODUCT sales"
REGULATORY	Facebook faced a class-action lawsuit over allegations of antitrust violations and monopolistic behavior in digital advertising	#COMPANY faced a class-action lawsuit over allegations of #LEGAL violations and #LEGAL behavior in #PRODUCT advertising
STAFFING	"Amazon announced plans to hire 75,000 new employees for its fulfillment centers and delivery network in response to increased demand"	#COMPANY announced plans to hire #AMOUNT new employees for its #PRODUCT centers and delivery network in response to increased demand
GROWTH	"Apple's revenue from services such as iCloud and Apple Music grew by 30% year-over-year, surpassing analyst expectations"	"#COMPANY's revenue from #PRODUCT such as #PRODUCT and #PRODUCT grew by 30% year-over-year, surpassing analyst expectations"
ACQUISITION	"Microsoft confirmed the acquisition of gaming company ZeniMax Media for $7.5 billion, bolstering its Xbox content offerings"	"#COMPANY confirmed the acquisition of #COMPANY for $7.5 billion, bolstering its #PRODUCT offerings"
TECHNOLOGY	"Google unveiled its latest breakthrough in AI research, a language model capable of understanding and generating human-like text"	"#COMPANY unveiled its latest breakthrough in #TECHNOLOGY, a #PRODUCT capable of understanding and generating human-like text"
CSR	IBM announced a new initiative to donate $100 million worth of technology and services to support underserved communities worldwide	#COMPANY announced a new initiative to donate $100 million worth of #TECHNOLOGY and services to support underserved communities worldwide
MARKET_MOVE	Tesla's stock price surged after the company announced plans to split its shares in a move aimed at making them more accessible to investors	#COMPANY's stock price surged after the company announced plans to split its shares in a move aimed at making them more accessible to investors
DECLINE	General Electric's market value declined by 20% following disappointing earnings results and concerns about its long-term growth prospects	#COMPANY's market value declined by 20% following disappointing earnings results and concerns about its long-term growth prospects
INNOVATION	"Apple introduced a revolutionary new feature in its latest iPhone lineup, allowing users to capture professional-quality photos and videos"	"#COMPANY introduced a revolutionary new feature in its latest #PRODUCT lineup, allowing users to capture professional-quality photos and videos"
PARTNERSHIP	Google Cloud partnered with healthcare providers to develop AI-powered tools for medical imaging analysis and patient care	#COMPANY #PRODUCT partnered with #PRODUCT to develop #TECHNOLOGY tools for #PRODUCT analysis and #PRODUCT care
REGULATORY	Facebook faced fines from multiple governments over data privacy violations and the mishandling of user information	#COMPANY faced fines from multiple governments over #LEGAL violations and the mishandling of #PRODUCT information
STAFFING	Amazon announced plans to increase the minimum wage for its hourly employees to $15 per hour in response to public pressure	#COMPANY announced plans to increase the minimum wage for its hourly employees to $15 per hour in response to public pressure
FINANCIALS	"Microsoft's cloud computing division reported a 50% increase in revenue, driven by strong demand for Azure services"	"#COMPANY's #PRODUCT division reported a 50% increase in revenue, driven by strong demand for #PRODUCT services"
INNOVATION	"Tesla unveiled its latest innovation, a fully autonomous electric vehicle capable of navigating city streets without human intervention"	"#COMPANY unveiled its latest #PRODUCT, a fully autonomous #PRODUCT capable of navigating #LOCATION without human intervention"
CSR	Google announced a $1 billion investment to support affordable housing initiatives in the San Francisco Bay Area to address homelessness	#COMPANY announced a $1 billion investment to support #CSR initiatives in the #LOCATION to address homelessness
MARKET_MOVE	Apple's stock price plummeted after the company warned of supply chain disruptions and chip shortages affecting iPhone production	#COMPANY's stock price plummeted after the company warned of #PRODUCT disruptions and #PRODUCT shortages affecting #PRODUCT production
DECLINE	"IBM's revenue declined for the fifth consecutive quarter, reflecting challenges in its legacy hardware and software businesses"	"#COMPANY's revenue declined for the fifth consecutive quarter, reflecting challenges in its #PRODUCT and #PRODUCT businesses"
TECHNOLOGY	"Microsoft announced a major breakthrough in quantum computing, achieving quantum supremacy with its latest qubit technology"	"#COMPANY announced a major breakthrough in #TECHNOLOGY, achieving #PRODUCT with its latest #TECHNOLOGY"
PARTNERSHIP	Amazon Web Services partnered with leading universities to launch a program to train students in cloud computing and data analytics	#COMPANY #PRODUCT partnered with #PRODUCT to launch a program to train students in #TECHNOLOGY and #PRODUCT
STAFFING	"Google announced plans to hire 10,000 new employees for its engineering and research divisions to drive innovation and product development"	#COMPANY announced plans to hire #AMOUNT new employees for its #JOBTITLE and #PRODUCT divisions to drive #PRODUCT and #PRODUCT
REGULATORY	Facebook faced a record-breaking $5 billion fine from the Federal Trade Commission over violations of user privacy and data protection laws	#COMPANY faced a record-breaking $5 billion fine from the #LOCATION over violations of #PRODUCT and #LEGAL laws
FINANCIALS	"Amazon's revenue surpassed $100 billion for the first time in a single quarter, driven by strong sales performance across its business segments"	"#COMPANY's revenue surpassed $100 billion for the first time in a single quarter, driven by strong sales performance across its #PRODUCT segments"
INNOVATION	"Apple introduced a groundbreaking new feature in its latest MacBook Pro lineup, a mini-LED display with improved brightness and color accuracy"	"#COMPANY introduced a groundbreaking new feature in its latest #PRODUCT lineup, a #"
PARTNERSHIP	IBM and Siemens formed a strategic partnership to integrate AI and IoT solutions into industrial manufacturing processes	#COMPANY and #COMPANY formed a strategic partnership to integrate #TECHNOLOGY and #TECHNOLOGY solutions into #PRODUCT processes
DECLINE	General Electric's market share declined sharply following a series of product recalls and quality issues	#COMPANY's market share declined sharply following a series of #PRODUCT recalls and quality issues
MARKET_MOVE	Amazon's announcement of a stock split caused a surge in trading volume and a significant increase in share price	#COMPANY's announcement of a #MARKET_MOVE caused a surge in trading volume and a significant increase in share price
INNOVATION	"Tesla unveiled its latest innovation, a solar-powered electric vehicle charging station with rapid charging capabilities"	"#COMPANY unveiled its latest #PRODUCT, a #TECHNOLOGY #PRODUCT charging station with rapid charging capabilities"
FINANCIALS	"Apple reported record-breaking profits in its fiscal year, driven by strong sales of iPhones and other hardware products"	"#COMPANY reported record-breaking profits in its fiscal year, driven by strong sales of #PRODUCT and other #PRODUCT products"
CSR	Microsoft donated $10 million to support education and job training programs for underserved communities in rural areas	#COMPANY donated $10 million to support education and job training programs for underserved communities in #LOCATION areas
TECHNOLOGY	Google announced the development of a breakthrough AI algorithm capable of generating highly realistic images and videos	#COMPANY announced the development of a breakthrough #TECHNOLOGY algorithm capable of generating highly realistic #PRODUCT and #PRODUCT
REGULATORY	Facebook faced regulatory fines totaling $1.6 billion for violations of data protection laws in the European Union	#COMPANY faced regulatory fines totaling $1.6 billion for violations of #REGULATORY laws in the #LOCATION
PARTNERSHIP	IBM and Samsung Electronics announced a partnership to develop next-generation semiconductor technology for mobile devices	#COMPANY and #COMPANY announced a partnership to develop next-generation #TECHNOLOGY for #PRODUCT
STAFFING	"Amazon announced plans to hire 55,000 new employees for its fulfillment centers and delivery network in the coming months"	#COMPANY announced plans to hire #AMOUNT new employees for its #PRODUCT and #PRODUCT network in the coming months
GROWTH	"Apple's market capitalization surpassed $3 trillion, cementing its position as the world's most valuable company"	"#COMPANY's market capitalization surpassed $3 trillion, cementing its position as the world's most valuable #PRODUCT"
CSR	Microsoft launched a new initiative to combat climate change by achieving carbon neutrality and transitioning to renewable energy sources	#COMPANY launched a new initiative to combat #CSR by achieving carbon neutrality and transitioning to renewable energy sources
ACQUISITION	"Google announced the acquisition of Fitbit, a leading wearable fitness tracker company, for $2.1 billion"	"#COMPANY announced the acquisition of #COMPANY, a leading #PRODUCT company, for $2.1 billion"
LEGAL	Apple faced a class-action lawsuit alleging antitrust violations related to its App Store policies and commission rates	#COMPANY faced a class-action lawsuit alleging #LEGAL violations related to its #PRODUCT policies and commission rates
TECHNOLOGY	Microsoft introduced a new cloud gaming service that allows users to play high-quality video games on any device with an internet connection	#COMPANY introduced a new #TECHNOLOGY #PRODUCT that allows users to play high-quality #PRODUCT on any #TECHNOLOGY with an internet connection
PARTNERSHIP	IBM and Red Hat announced a partnership to develop hybrid cloud solutions for enterprise customers using OpenShift technology	#COMPANY and #COMPANY announced a partnership to develop #TECHNOLOGY solutions for #PRODUCT customers using #TECHNOLOGY
INNOVATION	"Amazon unveiled its latest innovation, a fully autonomous delivery drone capable of delivering packages to customers' doorsteps"	"#COMPANY unveiled its latest #PRODUCT, a fully autonomous #PRODUCT capable of delivering #PRODUCT to customers' doorsteps"
FINANCIALS	"Tesla's revenue from energy storage products surpassed $1 billion for the first time, driven by increased demand for solar panels and batteries"	"#COMPANY's revenue from #PRODUCT surpassed $1 billion for the first time, driven by increased demand for #PRODUCT and #PRODUCT"
GROWTH	"Facebook's user base grew by 12% year-over-year, reaching 3 billion monthly active users across its family of apps"	"#COMPANY's user base grew by 12% year-over-year, reaching 3 billion monthly active users across its family of #PRODUCT"
CSR	Apple announced plans to achieve carbon neutrality across its entire supply chain and product lifecycle by 2030	#COMPANY announced plans to achieve #CSR across its entire #PRODUCT and #PRODUCT by 2030
DECLINE	IBM's stock price declined by 15% after the company reported lower-than-expected earnings for the quarter	#COMPANY's stock price declined by 15% after the company reported lower-than-expected earnings for the #MARKET_MOVE
STAFFING	"Amazon announced plans to hire 40,000 new employees for its corporate offices and technology hubs in the United States"	#COMPANY announced plans to hire #AMOUNT new employees for its #PRODUCT and #PRODUCT in the #LOCATION
REGULATORY	Google faced antitrust investigations from the United States Department of Justice over allegations of anti-competitive behavior in the search engine market	#COMPANY faced #REGULATORY investigations from the #LOCATION over allegations of anti-competitive behavior in the #PRODUCT market
MARKET_MOVE	Apple's stock price surged by 10% following the announcement of record-breaking iPhone sales for the quarter	#COMPANY's stock price surged by 10% following the announcement of record-breaking #PRODUCT sales for the #MARKET_MOVE
