date	company	relationEntity	relationEntityType	classification	snippet	country	keywords
2023-04-17	Accenture Inc.				Accenture was founded in 1989 and now employs global talent	US	talent
2023-04-17	IBM Corp.			Products	DevOps solutions from IBM are designed to increase operational effectiveness,	GB	effectiveness|solution|devops solution|operational effectiveness
2023-04-17	Infosys Limited			Publishing Numbers	Infosys had a net margin of 16.37% and a return on equity of 31.61%	CH	margin|return
2023-04-17	IBM Corp.	Cleveland Clinic	org	Partnerships	since 2016, Cleveland Clinic has been collaborating with IBM to work towards providing data-driven personalized healthcare	US	
2023-04-17	Cognizant Technology Solutions Corp.			Using	Profile Cognizant Technology Solutions Corp. engages in the provision of information technology, consulting, and business process outsourcing services	CA	information technology|service|consult|technology|business process outsourcing service|outsourcing service|process outsourcing service
2023-04-17	Willis Towers Watson PLC	Zimmer Biomet Holding Inc.	company	Procure Supply|General|Coworks	Willis Towers Watson worked with Zimmer Biomet	US	
2023-04-17	Willis Towers Watson PLC	Zimmer Biomet Holding Inc.	company	Service Agreements	Finally, Zimmer Biomet said it replaced its longtime independent compensation consultant, Willis Towers Watson, with Semler Brossy Consulting Group for a “fresh perspective on our executive compensation practices	US	
2023-04-17	Bain & Co.	the globe	location		In recent years, Coffman says, Bain’s clients across the globe have taken a more intentional lens toward their efforts to create a more diverse workplace and an environment	US	client|effort|intentional lens|lens
2023-04-17	Bain & Co.				Bain’s clients across the globe have taken a more intentional lens toward their efforts to create a more diverse workplace and an environment	US	environment|diverse workplace|workplace
2023-04-17	Ernst & Young LLP			Layoff Staff	Ernst & Young said Monday that it would eliminate roughly 3,000 jobs from its US workforce as it pivots to address shifts in demand and “overcapacity” in some sections of its business	US	workforce|it|job
2023-04-17	Ernst & Young LLP			Layoff Staff	Ernst & Young said Monday that it would eliminate roughly 3,000 jobs from its US workforce as it pivots to address shifts in demand and “overcapacity” in sections of its business	US	shift|section
2023-04-17	Accenture Inc.	Exchange Commission	org		Ironwood Investment Counsel LLC’s holdings in Accenture were worth $2,241,000 as of its most recent filing with the Securities & Exchange Commission	US	holding
2023-04-17	Infosys Limited	Barry Season	person		Infosys Share PriceWhere to Watch Barry Season 4Ningaloo Eclipse 2023B	IN	4ningaloo eclipse|eclipse
2023-04-17	Infosys Limited				[Found on infosys.com] Infosys’ cybersecurity program helps clients maintain a robust cyber posture and achieve digital trust		cybersecurity program|posture|cyber posture|client|program|robust cyber posture
2023-04-17	Infosys Limited	Infosys Limited	company		[Found on infosys.com] Infosys has a team of 4,500+ cybersecurity experts		a team|infosys|team
2023-04-17	Deloitte Consulting LLP	Kathy Hochul	person		Kathy Hochul spent on contracts with Deloitte Consulting	US	contract
2023-04-17	Infosys Limited				[Found on infosys.com] Infosys was among the first few companies	IN	company|infosys
2023-04-17	Infosys Limited				[Found on infosys.com] to the UN Standards of Conduct for Business on Tackling Discrimination against LGBTI people, Infosys has committed to fostering an inclusive workplace for members of the LGBTQIA+ community	IN	standard|business|discrimination|infosys|tackling discrimination
2023-04-17	Infosys Limited	Infosys Limited	company		[Found on infosys.com] Infosys has committed to fostering an inclusive workplace for members of the LGBTQIA+ community	IN	workplace
2023-04-17	Infosys Limited	Infosys Limited	company		[Found on infosys.com] Infosys’ employees are women	IN	woman
2023-04-17	Infosys Limited	India	location		[Found on infosys.com] We have advanced millions of lives in India and globally by leveraging tech for good	IN	life|we
2023-04-17	Infosys Limited			Products|Product Advertising	[Found on infosys.com] We are working with governments in the US and Canada to improve public services	US	government|we
2023-04-17	Infosys Limited				[Found on infosys.com] We want to bring the power of digital technologies to communities and non-profit organizations, in order to create digital transformation and accelerate social impact	IN	transformation|digital transformation
2023-04-17	Infosys Limited			Products	[Found on infosys.com] Infosys’ digital, paperless platforms for direct, indirect and import taxes facilitate an improved tax-to-GDP ratio and strengthen governance	IN	digital paperless platform|improved tax to gdp ratio|import tax|paperless platform|tax|indirect import tax|platform|direct indirect import tax|ratio|tax to gdp ratio
2023-04-17	FTI Consulting Inc.			Company Info	Profile FTI Consulting, Inc engages in the provision	US	provision
2023-04-17	Aon PLC Holding	State of New Jersey	location		State of New Jersey Common Pension Fund D trimmed its position in Aon plc by 0.5% during the fourth quarter, according to the company	US	d|company|pension fund d|position|fund d|common pension fund d
2023-04-17	Infosys Limited				[Found on infosys.com] we will continue to make every effort count	IN	every effort count|effort count|count
2023-04-17	Infosys Limited				[Found on infosys.com] we can reduce our own emissions,	IN	emission|own emission|we
2023-04-17	Infosys Limited				[Found on infosys.com] We must step up our efforts further to transform the built environment	IN	effort|we
2023-04-17	IBM Corp.			Launches|Product Launch	IBM announced the launch of its latest LinuxONE system,	US	launch
2023-04-17	IBM Corp.		company		IBM held a LinuxONE dedicated launch event this week	US	linuxone
2023-04-17	IBM Corp.			Market Share Growth	IBM to gain traction in the digital asset custody space	US	feature|posture
2023-04-17	IBM Corp.				For more details on these bold sustainability claims, IBM has created a Sustainability calculator	US	calculator|sustainability calculator|claim|detail|sustainability claim|bold sustainability claim
2023-04-17	IBM Corp.				IBM recently launched the LinuxONE Rockhopper	US	rockhopper|linuxone rockhopper
2023-04-17	IBM Corp.			Products	IBM is positioning the system to address the burgeoning sustainability requirements for many enterprises	US	sustainability requirement|burgeoning sustainability requirement|requirement
2023-04-17	IBM Corp.		product		IBM has been a long-time proponent of Linux stretching back to 1999 when IBM declared that Linux would run all of its chip architectures In 2019	US	linux
2023-04-17	IBM Corp.		product		IBM’s LinuxONE offers an alternative to both traditional x86 servers and cloud computing, providing the scalability and security needed for mission-critical workloads while also supporting modern workloads such as AI and machine learning	US	server|traditional x86 server|computing|x86 server|alternative|linuxone|cloud computing
2023-04-17	IBM Corp.				Generative AI from IBM Comes to Golf at the Masters Tournament	US	golf|generative ai|masters tournament|ai|tournament
2023-04-17	IBM Corp.				IBM’s LinuxONE Goes Mainstream With the Launch of the LinuxONE Rockhopper	US	mainstream|linuxone|launch
2023-04-17	IBM Corp.				IBM’s LinuxONE is designed to be highly scalable, with the ability	US	ability
2023-04-17	IBM Corp.				IBM and Wasabi Collaborate with the Boston Red Sox Helping the Team Score the Benefits of Deep Data Insights Mainframe	US	boston red sox|red sox|sox
2023-04-17	IBM Corp.			Product Launch	IBM Announces Latest Updates to z16 Family Healthcare Quantum Computer Debuts for Cleveland Clinic,	US	debut|update
2023-04-17	Tata Consultancy Services Limited			Products|Technology|Using|Operations	TCS has already started integrating generative AI into the company’s portfolio of services	IN	that
2023-04-17	Infosys Limited				He added that Infosys is presently working on open-source generative AI platforms	IN	open source|ai platform|generative ai platform|platform
2023-04-17	Tata Consultancy Services Limited				Tata Consultancy Services , the country’s top IT exporter, said at its FY23 earnings press conference that it has seen a steep rise in interest among clients in generative AI	IN	earnings press conference|conference|fy23|press conference
2023-04-17	Infosys Limited		product		Infosys, the second-biggest IT exporter, also affirmed projects and initiatives around generative AI at its FY23 earnings call	IN	call|initiative|generative ai|fy23 earnings call|ai|project|earnings call
2023-04-17	IBM Corp.	Baidu Inc.	company	Partnerships	Other technology companies such as Meta, Baidu, IBM, and numerous startups are racing to develop and deploy AI-powered tools	US	startup|company|other technology company|technology company
2023-04-17	Infosys Limited			Publishing Numbers	On April 13, Infosys reported financial results for its fourth quarter and full	US	result|financial result
2023-04-17	Infosys Limited				Infosys has a 52 week range	US	range
2023-04-17	Infosys Limited			Decline	However, Infosys missed Wall Street's earnings per share and revenue forecasts for the fourth quarter	US	earning
2023-04-17	Ernst & Young LLP				Ernst & Young's U.S. arm said on Monday that it will cut around 3,000 employees, which represents less than 5% of the company's total workforce in the country	US	it
2023-04-17	IBM Corp.		product		IBM sold off Watson Health to private equity firm Francisco Partners	US	watson health|partner|francisco partner|equity firm francisco partner|health|private equity firm francisco partner|firm francisco partner
2023-04-17	IBM Corp.			Investments	IBM had invested much more in Watson	US	watson
2023-04-17	IBM Corp.			Acquistions	IBM continues to acquire AI startups	US	
2023-04-17	IBM Corp.				Despite the Watson setback, IBM continues to acquire AI startups	US	
2023-04-17	IBM Corp.			Acquistions	IBM has bought at least five artificial intelligence companies since mid-2020	US	intelligence company|artificial intelligence company|company
2023-04-17	Infosys Limited	Rishi Sunak	person		Rishi Sunak's wife, Akshata Murty, loses $61 million from Infosys woes in a day	IN	wife|woe
2023-04-17	Accenture Inc.				Sage Mountain Advisors LLC’s holdings in Accenture were worth $397,000 at the end	US	holding|end
2023-04-17	Infosys Limited				Infosys had released a disappointing revenue outlook last week, following the release of a disappointing quarterly report by its larger rival Tata Consultancy Services	IN	revenue outlook|disappointing revenue outlook|outlook
2023-04-17	Infosys Limited	Sunak	person		Sunak’s wife loses £49 million in single day after shares in Infosys Ltd plunge 16:11 ,	GB	plunge|wife
2023-04-17	PricewaterhouseCoopers International Limited			Products	firm PWC is testing AI chatbots to streamline work processes	US	chatbot|ai chatbot
2023-04-17	IBM Corp.			Publishing Numbers	IBM will report first-quarter earnings after markets close Wednesday	US	first quarter earning|earning
2023-04-17	IBM Corp.			Leadership|Company Info	IBM has positioned itself as a leader in the fast-growing cloud computing industry, but competition and inflation are raising the costs of infrastructure management and development	US	leader|itself|computing industry|cloud computing industry|fast growing cloud computing industry|industry
2023-04-17	Infosys Limited				Infosys slumps about 10% Mutual fund inflows,	IN	fund inflow|mutual fund inflow|inflow
2023-04-17	Infosys Limited				on whether the Bengaluru-based IT company is looking at any opportunities, the Infosys CEO pointed out that the present environment	IN	environment|opportunity
2023-04-17	Infosys Limited			Grow	Infosys Q4FY23 India's 2nd largest software services firm last week reported lower-than-expected growth in the fourth quarter net	IN	lower than expected growth|growth
2023-04-17	Aon PLC Holding				Aon plc’s AON board of directors recently sanctioned a 10% hike	US	hike
2023-04-17	IBM Corp.	State of Odisha	location		The IBM informed the Ministry of Steel and Mines that mining lease holders in Odisha were dispatching manganese ore as low-grade from their mines to the traders operating from West Bengal, who subsequently sold it as high-grade without any processing	IN	
2023-04-17	Infosys Limited	Murty	person		Rishi Sunak’s wife Akshata Murty loses S$80 million from Infosys woes in a day	SG	s|woe
2023-04-17	PricewaterhouseCoopers International Limited	Scott	person		Mr. Scott has served as a consultant and performed quality review roles for many of PwC's larger public company engagements	CA	public company engagement|engagement|company engagement
2023-04-17	Infosys Limited				their target prices for Infosys and other IT stocks on fears that a recession in the developed world could severely impact the demand for IT services exporters	IN	target price|price|it|other it|fear
2023-04-17	Aon PLC Holding				they navigate new forms of volatility,” said report author Boon Chong Na, advisory partner and corporate governance and ESG lead, Human Capital Solutions for Asia Pacific at Aon	SG	form|company|lead|they|esg lead
2023-04-17	Aon PLC Holding			Reports	Aon conducted the ESG survey of senior leaders of both private and publicly listed companies across all industry sectors between October and December 2022	AU	industry sector|all industry sector|survey|sector
2023-04-17	Infosys Limited	Martin Romualdez	person		Romualdez also attended a lecture on digital public infrastructure where he had a chance to speak with Nandan Nilekani, one of the founders of Indian multinational information technology company Infosys	IN	
2023-04-17	Accenture Inc.	Securities and Exchange Commission	org		NorthRock Partners LLC’s holdings in Accenture were worth $733,000 as of its most recent filing with the Securities and Exchange Commission	US	holding
2023-04-17	Cognizant Technology Solutions Corp.		product		Cognizant Technology Solutions today launched a cloud migration accelerator offering (“Cognizant DCOD Accelerator Offering Kit”) for insurers	US	cloud migration accelerator offering|offering|migration accelerator offering|accelerator offering
2023-04-17	Infosys Limited			Publishing Numbers	Infosys announced a first dividend after it published results in October, with Ms Murty's share	IN	dividend
2023-04-17	Infosys Limited				The British PM is married to Infosys founder Narayana Murthy's daughter Akshata Murty,	GB	pm
2023-04-17	IBM Corp.			Layoff Staff	Software company IBM announced it would slash 1.5% of its global workforce, estimated to affect roughly 3,900 employees, according to CFO James Kavanaugh	US	
2023-04-17	Accenture Inc.	Appian Corp.	company		Appian Corporation Quote Appian along with its long-term consulting partner, Accenture, recently announced its partnership with Guidewire	US	long term consulting partner|partner|consulting partner
2023-04-17	IBM Corp.	E&Y LLP	company	Partnerships	EY and IBM Expand Strategic Alliance into Quantum Computing (IBM Newsroom) The EY organization & IBM announced	RU	computing|alliance|quantum computing|strategic alliance
2023-04-17	IBM Corp.	Ey Global Services Limited	company	Partnerships	that EY Global Services Limited will be joining the IBM Quantum Network, further enabling EY teams to explore solutions	RU	that|quantum network|network
2023-04-17	KPMG A/S	BearingPoint LLC	company		business KPMG It went public 20 years ago, went bankrupt in 2009 under the name BearingPoint	DE	
2023-04-17	Aon PLC Holding	New Mexico Educational Retirement Board	org		New Mexico Educational Retirement Board Sells 9.2% of Holdings in Aon plc as Insider Selling Raises Questions	US	holding
2023-04-17	Aon PLC Holding				Aon Shows Impressive Growth in Stakeholder Data Despite Market Caution	US	impressive growth|growth
2023-04-17	Aon PLC Holding				AON’s quarterly revenue saw an increase of 1.6%	US	revenue|increase
2023-04-17	IBM Corp.			Company Info	IBM, for example, is providing access to lots of quantum computers	US	lot|access
2023-04-17	Aon PLC Holding		product		Profile Aon Plc engages in the provision of risk, health, and wealth solutions	US	provision
2023-04-17	Aon PLC Holding			Publishing Numbers	AON had a net margin of 20.75% and a return on equity of 1,165.31%	US	margin|return
2023-04-17	IBM Corp.				HighMark Wealth Management LLC’s holdings in International Business Machines were worth $96,000 at the end	US	holding|end
2023-04-17	Infosys Limited				the Sunaks are unlikely to struggle, as the PM's wife stake in Infosys is still estimated to be worth more than £450million	IN	stake|wife stake
2023-04-17	PricewaterhouseCoopers International Limited				In the Global Partner Awards, PwC scored System	SG	system
2023-04-17	PricewaterhouseCoopers International Limited	Asia-Pacific	location		PwC, Integrated Business Technologies and Boon Solutions have been hailed as three of Qlik’s top-performing partners in the Asia Pacific region	SG	solution|partner|region|boon solution|top performing partner
2023-04-17	Gartner Inc.	Gartner Inc.	company	Belongs To	GARTNER and Magic Quadrant are registered trademarks of Gartner, Inc. and/or its affiliates in the U.S. and internationally	US	 |magic quadrant|quadrant|trademark|affiliate
2023-04-17	Gartner Inc.				Gartner, “Vendors in the Visionaries quadrant will have demonstrated an ability to increase features in their offerings to provide unique and differentiated approaches to the market	GB	vendor|quadrant|visionaries quadrant|ability
2023-04-17	IBM Corp.			Using|Company Info	Today, IBM focuses on hybrid cloud systems, artificial intelligence, analytics, and consulting		system|consult|cloud system|analytic|hybrid cloud system|artificial intelligence|intelligence
2023-04-17	IBM Corp.				Why IBM has struggled		why
2023-04-17	IBM Corp.				should IBM prioritize its dividend?		dividend
2023-04-17	IBM Corp.				when IBM was performing at a high level		level
2023-04-17	IBM Corp.			Product Growth	IBM has evolved its business over the years to keep up with the times, and there are recent signs		time
2023-04-17	IBM Corp.				In other words, when IBM puts a dollar of capital into its business, how much profit is coming out the other side?		business|other word|when|word|dollar
2023-04-17	IBM Corp.	Ideally	company	Belongs To	/ycharts.com Ideally, a company generates tons of profits without too much heavy lifting, but that's not IBM today		ton
2023-04-17	Accenture Inc.				AMJ Financial Wealth Management’s holdings in Accenture were worth $504,000 at the end	US	holding|end
2023-04-17	Accenture Inc.	Exchange Commission	org		Sage Mountain Advisors LLC’s holdings in Accenture were worth $397,000 as of its most recent filing with the Securities & Exchange Commission	US	holding
2023-04-17	Infosys Limited	Credit Rishi Sunak	company		Full $7,500 US Tax Credit Rishi Sunak’s Wife, Akshata Murty, Loses £49 Million From Infosys Woes in a Day Google ‘Racing’ to Build New AI Tools for Search, NYT Says	US	 |wife|woe
2023-04-17	Infosys Limited				Infosys Ltd , which lost 9.30% or 129.20 points to trade at 1,260	IN	
2023-04-17	IBM Corp.				As of December 2020, IBM and all its subsidiaries include 345,900 employees	US	subsidiary
2023-04-17	Gartner Inc.				DekaBank Deutsche Girozentrale's holdings in Gartner were worth $10,255,000 at the end	US	holding|end
2023-04-17	Gartner Inc.			Publishing Numbers	Gartner had a net margin of 14.75% and a return on equity of 2,645.96%	US	margin|return
2023-04-17	IBM Corp.				For over a decade, IBM has been gathering insight from unstructured data (such as that used in large language models) to provide real-time insight to its sports and entertainment clients and to enhance predictive analysis	US	insight
2023-04-17	IBM Corp.				National Association of Broadcasters convention, the IBM sports and entertainment team accepted an Emmy® Award for its advancements in curating sports highlights through artificial intelligence and machine learning	US	convention|entertainment team|advancement|team|sport
2023-04-17	IBM Corp.				IBM was granted the award for an ensemble of AI and ML technologies that help people consume broadcast content in new ways	US	award
2023-04-17	IBM Corp.				The IBM sports and entertainment team got to take home the Emmy, but credit for the award should be shared with the many client organizations who trusted us and collaborated with us to build and implement their technology roadmaps over the longer term,” said Noah Syken, Vice President of Sports and Entertainment Partnerships at IBM	US	emmy
2023-04-17	IBM Corp.				Over decades of long partnerships with its clients, IBM Consulting has developed a proven collaborative approach that delivers similarly impactful results in many sectors,	US	client|proven collaborative approach|collaborative approach|approach
2023-04-17	IBM Corp.	Aaron Baughman	person	New Employees	at IBM Consulting, Monica Ellingson, Sports Practice Lead, and Aaron Baughman, Distinguished Engineer of AI and Cloud at IBM Consulting, could begin guiding the research to make the dream a reality	US	monica ellingson|ellingson
2023-04-17	IBM Corp.			Products	IBM has been gathering insight from unstructured data (such as that used in large language models) to provide real-time insight to its sports and entertainment clients and to enhance predictive analysis	US	analysis|predictive analysis
2023-04-17	IBM Corp.				IBM Partner Plus	US	plus
2023-04-17	IBM Corp.				How IBM and Oracle help businesses embrace the future of sustainable supply chains	US	how|business|future
2023-04-17	IBM Corp.				How IBM sports and entertainment partnerships transform an industry—and win an Emmy	US	how|entertainment partnership|partnership|industry and win|emmy|sport|win
2023-04-17	Infosys Limited				that Infosys has "lost the revenue growth leadership," Rudra	US	growth leadership|leadership|revenue growth leadership
2023-04-17	Infosys Limited				Infosys witnessed a changed demand environment which manifested as unplanned project ramp downs,	US	environment|changed demand environment|demand environment
2023-04-17	Aon PLC Holding	Sherif Zakhary	person	New Employees	Global professional services firm Aon has appointed Sherif Zakhary as Chief Executive Officer of its Strategy and Technology Group within Reinsurance Solutions, effective immediately	GB	solution|reinsurance solution
2023-04-17	KPMG A/S				KPMG wrote repeatedly to A Corp Trustee Ltd, a Cyprus-based company that managed trusts that administered Abramovich’s wealth	RU	wealth|corp trustee ltd|trustee ltd|ltd
2023-04-17	KPMG A/S				KPMG sought assurances that funds would be available to keep the loss-making club afloat	RU	assurance
2023-04-17	KPMG A/S				filings stated only that the auditor KPMG believed “sufficient funds will be provided to finance the business for the foreseeable future	RU	fund
2023-04-17	Wipro Limited	TCS Group Holding PLC	company		as Tech Mahindra, HCL Tech, TCS and Wipro ended up to 5 per cent lower	IN	tech|hcl tech|mahindra|tech mahindra
2023-04-17	Infosys Limited				Among the constituents, Infosys slipped 9.42 per cent	IN	constituent
2023-04-17	IBM Corp.	IBM Enterprise Asset Management	company	Selling	IBM also offers the IBM Enterprise Asset Management suite built	US	suite
2023-04-17	Infosys Limited				Elsewhere, Indian software firm Infosys slumped 10.8% on weak growth guidance	IN	growth guidance|guidance|elsewhere|weak growth guidance
2023-04-17	IBM Corp.				According to my valuation model, International Business Machines seems to be fairly	US	valuation model|model
2023-04-17	IBM Corp.				Furthermore, International Business Machines’s low beta implies that the stock is less volatile than the wider market	US	beta
2023-04-17	IBM Corp.				What kind of growth will International Business Machines generate?	US	what|kind
2023-04-17	IBM Corp.				What are the risks and opportunities for International Business Machines?	US	what|opportunity|risk
2023-04-17	Gartner Inc.	ORO International Inc.	company		Oro Recognized in the Gartner Market Guide for Marketplace Operation Applications for Third Consecutive Year	US	application|operation application|market guide|guide
2023-04-17	Infosys Limited	TCS Group Holding PLC	company		Last week, IT majors TCS and Infosys reported lower-than-expected numbers for the fourth quarter ended March 2023 as the macroeconomic headwinds hit their business	IN	report|it
2023-04-17	Infosys Limited				While TCS fell 1.6% to INR 3,139.60 on the BSE, Infosys slumped 9.4% to INR 1,258.10	IN	
2023-04-17	Gartner Inc.				Adaptive Security Gartner predicts that by 2025, 75%	GB	
2023-04-17	Gartner Inc.				Gartner predicts over 35% of government legacy applications will be replaced by solutions developed on low-code application platforms and maintained by fusion teams by 2025	GB	application
2023-04-17	IBM Corp.				trades for International Business Machines Corporation shows that investor sentiment remained intact, with the stock’s consolidated last price rising by $0.34, or 0.27%, to $128.48	US	
2023-04-17	IBM Corp.			Partnerships	The stock was recently discussed on Yahoo Finance as it revealed that EY and IBM expand strategic alliance into quantum computing	US	stock
2023-04-17	IBM Corp.				As of this writing, IBM has an earnings estimate of $1.26 per share for the current quarter	US	estimate
2023-04-17	IBM Corp.				International Business Machines Corporation pays an annual dividend of $6.60, resulting in a dividend yield	US	yield|dividend yield
2023-04-17	IBM Corp.				The IBM stock dividend was $1.65 per share in cash	US	stock dividend|dividend
2023-04-17	IBM Corp.				The International Business Machines Corporation has recorded 230,756 volume	US	volume
2023-04-17	Infosys Limited				Infosys, Tech Mahindra, HCL Technologies, NTPC and Larsen and Toubro were among major losers on the Nifty, while gainers included Nestle India, Power Grid Corporation, SBI, Britannia Industries and Coal India	IN	toubro|major loser|larsen|ntpc|loser|technology|hcl technology|nifty
2023-04-17	Infosys Limited				Infosys declared a weaker-than-expected Q4 result	IN	result
2023-04-17	Infosys Limited	India	location		India stocks gauge snapped its longest run of advances in more than two years as cautious outlook and lackluster earnings by technology bellwether Infosys weighed on investor sentiment	CN	gauge|lackluster earning|stocks gauge|run|cautious outlook|outlook|earning
2023-04-17	Infosys Limited	Rishi Sunak	person		Rishi Sunak's wife Akshata to earn Rs 68.17 cr dividend income from Infosys	GB	income|wife akshata|dividend income|akshata
2023-04-17	Accenture Inc.				As Paul Daugherty, chief technology and innovation officer at Accenture, puts it, "The playing field is poised to become a lot more competitive, and businesses that don't deploy AI and data to help them innovate in everything they do	US	it
2023-04-17	Infosys Limited	Ltimindtree	company		Two of its subsidiaries, LTIMindtree and L&T Technology Services, are under pressure as a result of the disappointing earnings report from Infosys	IN	disappointing earnings report|report|earnings report|subsidiary
2023-04-17	Infosys Limited				Weaker-than-expected numbers by Infosys have unleashed the bears on Dalal Street	IN	number|weaker than expected number|bear
2023-04-17	Tata Consultancy Services Limited				Is TCS Giving Upto 15% Pay Hike To Its Employees	IN	hike|pay hike
2023-04-17	Cognizant Technology Solutions Corp.	Securities and Exchange Commission	org		Keybank National Association OH's holdings in Cognizant Technology Solutions were worth $1,416,000 as of its most recent filing with the Securities and Exchange Commission	US	holding
2023-04-17	Cognizant Technology Solutions Corp.			Using	Profile Cognizant Technology Solutions Corp. engages in the provision of information technology, consulting, and business process outsourcing services	US	information technology|service|consult|technology|business process outsourcing service|outsourcing service|process outsourcing service
2023-04-17	Cognizant Technology Solutions Corp.			Publishing Numbers	Cognizant Technology Solutions had a net margin of 11.79% and a return on equity of 18.92%	US	margin|return
2023-04-17	Infosys Limited				Infosys Ltd , which lost 9.30% or 129.20 points to trade at 1,260	IN	
2023-04-17	Infosys Limited				stock Infosys as the Street reacted to its March quarterly earnings	IN	street|earning
2023-04-17	Tata Consultancy Services Limited				India’s largest IT services provider Tata Consultancy Services slipped the least on the Nifty IT	IN	nifty it|least|it
2023-04-17	Infosys Limited				Indian shares snapped a 9-day winning run after Infosys tumbled over 9% on weak Q4 numbers and sparked a selloff in IT	IN	number
2023-04-17	IBM Corp.	Oracle Corp. Holding	company		In the scope, Enterprise Resource Planning software from significant players such as Oracle Corporation, IBM Corporation, SAP Se, Workday, Inc., and Microsoft Corporation have been taken into consideration	IN	software|scope|enterprise resource planning software|planning software|resource planning software
2023-04-17	IBM Corp.		product		IBM's ultimate goal is to create a quantum computer with at least 4,000 qubits by 2025	US	quantum computer|computer|qubits
2023-04-17	Tata Consultancy Services Limited				major Tata Consultancy Services Ltd is reportedly going to give upto 15 percent pay hike	IN	hike
2023-04-17	Tata Consultancy Services Limited				As per a report in the Live Mint, TCS is aiming to bring the attrition rates upto 14 percent from the current 20 percent and hence may announce pay hike ranging between 12-15 percent for its top performers	IN	
2023-04-17	Tata Consultancy Services Limited				TCS is aiming to bring the attrition rates upto 14 percent from the current 20 percent	IN	rate|attrition rate
2023-04-17	Tata Consultancy Services Limited				At the year end, TCS had a head count	IN	head count|count|year end|end
2023-04-17	Tata Consultancy Services Limited				TCS had logged a revenue of Rs 59,162 crore and a net profit	IN	net profit|revenue|profit
2023-04-17	Tata Consultancy Services Limited				Is TCS Giving Upto 15% Pay Hike To Its Top Performers	IN	performer|hike|top performer|pay hike
2023-04-17	IBM Corp.				Furthermore, IBM stated that digital twins can be applied to urban planning by Civil engineers and professionals in the CI planning activities because digital twins can	NG	
2023-04-17	IBM Corp.				IBM further described digital twin as a virtual model designed to accurately reflect a physical object	NG	digital twin|model|virtual model|twin
2023-04-17	Tata Consultancy Services Limited|Infosys Limited				Infosys' outlook last week followed a disappointing quarterly report from larger rival TCS, highlighting worries for the sector which earns more than 25 per cent of its revenue from the US and European banking	US	report|outlook|rival
2023-04-17	Infosys Limited				Infosys, alone, pulled the benchmark BSE lower	IN	benchmark bse|bse
2023-04-17	Accenture Inc.	Julie Sweet	person		During Accenture's latest earnings conference call, CEO Julie Sweet said the recent macroeconomic challenges merely highlighted the need for businesses to execute "compressed transformations to achieve lower cost, stronger growth, more agility, and greater resilience faster		
2023-04-17	Accenture Inc.				you can see how the current ROCE for Accenture compares to its prior returns on capital, but there's only so much you	US	return
2023-04-17	Accenture Inc.				So, Accenture has an ROCE	US	
2023-04-17	Accenture Inc.				the current ROCE for Accenture compares to its prior returns on capital	US	capital
2023-04-17	PricewaterhouseCoopers International Limited			Investments	PwC announces to invest over Rs 600 cr towards employee's wellbeing	US	
2023-04-17	IBM Corp.				The proposed IBM Facility would be constructed in the Kwinana-Rockingham Strategic Industrial Area on approximately 30 hectares of vacant industrial land leased from the WA Government	AU	area|strategic industrial area|hectare|facility|industrial area
2023-04-17	IBM Corp.	Kwinana Lithium Hydroxide Refinery	company		The land secured for the proposed IBM Facility is located adjacent to the Kwinana Lithium Hydroxide Refinery which is owned by Tianqi Lithium Energy Australia , a joint venture between IGO and Tianqi Lithium Corporation	AU	land
2023-04-17	Accenture Inc.	Securities and Exchange Commission	org		Legacy Advisors LLC’s holdings in Accenture were worth $2,978,000 as of its most recent filing with the Securities and Exchange Commission	US	holding
2023-04-17	Infosys Limited	Rishi Sunak	person		Rishi Sunak’s Wife, Akshata Murty, Loses £49 Million From Infosys Woes in a Day	US	wife|woe
2023-04-17	Infosys Limited	Rishi Sunak	person		Rishi Sunak’s Wife, Akshata Murty, Loses $61 Million From Infosys Woes in a Day	US	wife|woe
2023-04-17	Willis Towers Watson PLC			Company Info	Willis Towers Watson Public makes up about 1.3% of River Road Asset Management LLC’s investment portfolio, making the stock its 17th largest position	US	portfolio|investment portfolio
2023-04-17	Willis Towers Watson PLC	Exchange Commission	org		River Road Asset Management LLC’s holdings in Willis Towers Watson Public were worth $97,330,000 as of its most recent filing with the Securities & Exchange Commission	US	holding
2023-04-17	Willis Towers Watson PLC			Publishing Numbers	Willis Towers Watson Public had a net margin of 11.38% and a return on equity of 14.53%	US	margin|return
2023-04-17	Infosys Limited	Brighter	company		Infosys Share Plunge May Have A Brighter Side For Investors	IN	side|investor|plunge|share plunge
2023-04-17	Ernst & Young LLP	Auditor Change Galiano Gold Inc.	company		Auditor Change Galiano Gold Inc. ("Galiano" or the "Company") announced today that it has changed its auditors from KPMG (the "Former Auditor") to Ernst &Young	US	auditor|it
2023-04-17	Infosys Limited				Infosys still has its appeal	IN	appeal
2023-04-17	Infosys Limited				Infosys-Led IT Wipeout Of Rs 1 Lakh Crore Calls For Need To Stay Liquid	IN	call|wipeout
2023-04-17	Infosys Limited				The worse-than-expected Q4 results from Infosys with only 4-7% revenue growth for FY24 will drag down IT stocks impacting the Nifty," V K Vijayakumar, Chief Investment Strategist at Geojit Financial Services, said	IN	result|it stock|revenue growth|growth|stock
2023-04-17	Infosys Limited			Grow	On Thursday, Infosys reported a lower-than-expected growth in the fourth quarter net	US	lower than expected growth|growth
